Date,Mom   ,BXM Level (Volatility),Mkt-RF,SMB,HML,RF,Last_Price (High Yield Credit Spread),PS_VWF (Liquidity)
1997-01-02,-1.34,,-0.75,0.05,0.14,0.02,,
1997-01-03,0.43,0.00963138541531361,1.39,-0.32,-0.78,0.02,0.0033840979842405527,
1997-01-06,0.52,0.0016165686520581701,0.02,0.11,0.06,0.02,-0.010186845306992875,
1997-01-07,0.22,0.0033771995284288536,0.72,-0.03,-0.51,0.02,-0.0034188067487856966,
1997-01-08,0.11,-0.001580691577566462,-0.44,0.5,0.52,0.02,-0.017271586508660564,
1997-01-09,0.22,0.0035530488797430593,0.72,-0.38,-0.15,0.02,0.030877238564439136,
1997-01-10,0.37,0.002573380569712569,0.5,-0.17,-0.36,0.02,-0.03787027405540977,
1997-01-13,0.15,0.0019030651124074538,-0.07,0.09,0.28,0.02,0.0,
1997-01-14,0.32,0.002802683971265374,1.11,-0.84,0.02,0.02,0.03448617607116922,
1997-01-15,-0.35,-0.00018058147283106507,-0.22,0.03,0.46,0.02,-0.003395589001138122,
1997-01-16,0.48,0.0010228641084344403,0.26,-0.21,-0.33,0.02,-0.010256500167189042,
1997-01-17,0.19,0.007936668444969541,0.72,-0.28,-0.26,0.02,0.0034305350967891446,
1997-01-20,0.11,0.001222330032192076,0.26,0.21,-0.41,0.02,-0.0034305350967891446,
1997-01-21,0.36,0.0036580510389354615,0.59,-0.52,-0.21,0.02,0.013652089168327164,
1997-01-22,0.12,0.002875396606803804,0.44,-0.41,-0.07,0.02,-0.017094433359300165,
1997-01-23,-0.38,-0.003320784621352324,-0.85,0.91,0.37,0.02,-0.010398707220898418,
1997-01-24,-0.46,-0.005330328419460351,-0.97,0.34,0.3,0.02,-0.010507977598415152,
1997-01-27,-0.34,-0.003289771785960127,-0.72,0.08,0.34,0.02,-0.017762456339840416,
1997-01-28,-0.08,0.0003893556213734328,0.01,0.41,-0.22,0.02,0.01423511582187209,
1997-01-29,0.52,0.004869096889906999,0.68,-0.73,-0.04,0.02,0.003527340517968325,
1997-01-30,0.36,0.008338698406459066,1.21,-0.67,-0.41,0.02,0.010507977598415152,
1997-01-31,0.22,0.0018010309124392165,0.31,0.01,-0.35,0.02,0.017271586508660564,-0.037275562000000005
1997-02-03,0.35,0.0004128940985310692,-0.02,0.04,0.37,0.02,0.013605652055778572,
1997-02-04,0.09,0.002150190074526215,0.12,-0.54,0.28,0.02,0.010084119066626096,
1997-02-05,-0.06,-0.00536937801682047,-1.28,0.47,0.75,0.02,-0.01686380605200477,
1997-02-06,-0.22,0.003101235594906271,0.24,-0.23,-0.09,0.02,0.0,
1997-02-07,0.36,0.003561917779538959,0.96,-0.79,-0.03,0.02,0.023530497410193973,
1997-02-10,-1.12,-0.00038207762518638333,-0.65,-0.07,0.81,0.02,0.0,
1997-02-11,0.04,0.002172956368151624,0.32,-0.9,0.45,0.02,-0.0033277900926744763,
1997-02-12,0.34,0.00430259257952148,1.52,-0.79,-0.67,0.02,0.0,
1997-02-13,0.27,0.0010800555672991763,1.02,-0.54,0.15,0.02,0.03278982282299081,
1997-02-14,-0.15,-0.0008756312400928223,-0.22,0.29,0.33,0.02,0.012820688429061367,
1997-02-18,0.21,0.0014006421898802301,0.71,-0.53,0.28,0.02,0.0,
1997-02-19,-0.08,0.0008452716302569385,-0.32,0.41,0.3,0.02,-0.012820688429061367,
1997-02-20,-0.83,0.0006116475353428186,-1.17,0.41,0.42,0.02,-0.026145280104322266,
1997-02-21,-0.29,-0.0006990563024977803,-0.26,-0.05,0.63,0.02,0.006600684031351944,
1997-02-24,0.08,0.006766102504525584,0.86,-0.78,0.03,0.02,-0.003294895896852612,
1997-02-25,-0.02,0.0017638473785197561,0.25,-0.18,0.17,0.02,-0.0033057881344993323,
1997-02-26,0.02,-0.003125002543134414,-0.75,0.17,0.11,0.02,-0.0474665372389238,
1997-02-27,-0.89,-0.006716996511294759,-1.27,0.61,0.76,0.02,-0.006968669316093301,
1997-02-28,-0.63,-0.001868995667146045,-0.49,0.04,0.15,0.02,-0.05387298994015166,-0.035042672999999996
1997-03-03,0.51,0.004927770173471124,0.39,-0.47,0.12,0.021,-0.007407441277861859,
1997-03-04,0.23,-0.002387956520747636,-0.29,0.66,0.23,0.021,-0.01121507082013995,
1997-03-05,0.69,0.00879553994618032,1.17,-0.5,-0.5,0.021,0.01121507082013995,
1997-03-06,0.15,-0.0024595987340747527,-0.31,0.09,0.46,0.021,-0.02255734742407456,
1997-03-07,0.02,0.006353628489875085,0.67,-0.59,0.22,0.021,0.033648034118232806,
1997-03-10,0.53,0.00542629200708955,0.85,-0.45,0.04,0.021,0.0,
