Date,Momentum,BXM Level (Volatility),Mkt-RF,SMB,HML,RF,Last_Price (High Yield Credit Spread),Credit Spread Investment Grade
2000-07,0.0052,-0.000957045,0.0103,0.0077,-0.0041,0.00024,0.006042314,-0.057736091
2000-08,0.012,0.053957186,0.0119,0.0016,-0.0066,0.00022,0.04274785,0.128130504
2000-09,-0.0087,-0.017648818,-0.0126,0.007,0.0128,0.00025,0.018585238,0.005648505
2000-10,0.0083,-0.007119776,0.0275,0.0059,-0.0166,0.00025,0.112417708,0.021856452
2000-11,0.0136,-0.029412035,-0.0203,-0.0067,0.015,0.00024,0.142509952,0.050826886
2000-12,-0.0001,0.016338525,-0.0123,-0.0021,0.0145,0.00025,0.024933541,0.094504053
2001-01,0.0055,0.034434274,-0.0072,0.0041,0.0028,0.00026,-0.232826252,-0.076931716
2001-02,0.0109,-0.058045908,-0.0148,0.0044,0.0081,0.0002,-0.004062294,0.090041882
2001-03,0.0012,-0.057868956,0.0119,0.0166,-0.006,0.00019,0.033358663,-0.00036186
2001-04,-0.0111,0.029113111,0.0003,0.0073,-0.0051,0.0002,0,-0.07943968
2001-05,-0.0055,0.013592011,0.0073,-0.0029,-0.0016,0.00015,-0.116799268,-0.033064155
2001-06,-0.0102,-0.015281285,0.0035,0.0245,-0.0089,0.00013,0.073897246,-0.041767493
2001-07,0.0014,0.01595035,0.005,-0.0051,0.0012,0.00014,0.006825965,0.040551688
2001-08,-0.0083,-0.038920595,0.0042,-0.0039,0.0029,0.00013,0,0.032711333
2001-09,-0.005,-0.11104906,0.0225,0.004,0.0051,0.00018,0.222326891,0.203165084
2001-10,-0.0099,0.0128429,0.0018,0.0136,-0.0022,0.0001,-0.016474837,-0.00449439
2001-11,0.0022,0.034336795,-0.0014,-0.002,0.0029,8.00E-05,-0.111160495,-0.090879854
2001-12,-0.0024,0.025225147,-0.0104,0.0021,0.0078,7.00E-05,-0.086561433,-0.099582861
2002-01,0.0034,0.008933097,0.0135,-0.0059,0.0023,7.00E-05,-0.046969959,-0.060989616
2002-02,0.0018,-0.000839014,-0.0031,-0.0027,0.0053,7.00E-05,0.052353552,0.022904887
2002-03,-0.0042,0.02365737,0.0029,-0.0016,0.0031,7.00E-05,-0.153479764,-0.081256546
2002-04,0.0006,-0.041209882,0.012,0.0054,0.0012,7.00E-05,-0.026964362,0.04514946
2002-05,0.006,0.007570354,0.0019,-0.0016,0.0022,7.00E-05,0.045569549,-0.04195282
2002-06,-0.0018,-0.055524435,0.0012,0.0008,0.0182,6.00E-05,0.160058147,0.07421102
2002-07,0.0049,-0.087045324,0.0065,-0.0254,0.0003,7.00E-05,0.172676589,0.062049125
2002-08,0.0145,0.014799809,-0.0028,-0.0041,0.0089,6.00E-05,0.009863094,0.043997171
2002-09,0.0017,-0.076291749,-0.0128,0.0146,-0.0042,7.00E-05,0.087647307,0.119181544
2002-10,-0.0089,0.071544109,-0.0041,0.0026,0.0037,6.00E-05,0.011916725,0.000550759
2002-11,-0.0046,0.053282603,-0.0032,-0.0066,0.0052,6.00E-05,-0.192042891,-0.13233373
2002-12,-0.0078,0.001661939,0.0012,0.0003,0.0061,5.00E-05,-0.01203384,0.060676815
2003-01,0.008,-0.005185969,0.0128,-0.003,0.0026,5.00E-05,-0.095189122,-0.048659693
2003-02,-0.0047,-0.008052132,0.0041,-0.0069,0.0021,5.00E-05,0.01585238,0.033337618
2003-03,0.0082,0.000328747,-0.0165,0.0075,0.0044,5.00E-05,-0.109300114,-0.056807234
2003-04,-0.0035,0.06931249,0.0003,0.0076,0.0028,5.00E-05,-0.191132186,-0.081748849
2003-05,-0.0044,0.016886492,0.0153,0.0024,0.0007,4.00E-05,0.068402727,0.049869856
2003-06,-0.0003,-0.004355291,-0.0017,-0.0012,0.0042,5.00E-05,-0.128584969,-0.020832461
2003-07,-0.0029,0.024357539,0.0032,0.0026,0.004,3.00E-05,-0.117548101,-0.091670342
2003-08,0.0012,0.028250563,0.0053,-0.0031,0.0034,3.00E-05,-0.047628049,-0.098972094
2003-09,-0.0078,-0.018853836,-0.0096,-0.0005,0.0015,4.00E-05,-0.004444452,0.035610959
2003-10,-0.0058,0.045258726,0.0028,-0.0054,-0.0009,3.00E-05,-0.166851635,-0.074072564
2003-11,0.0059,0.012026948,0.0011,0.0027,-0.0015,4.00E-05,-0.065240522,-0.039897093
2003-12,-0.0016,0.017046188,0.0001,-0.0139,0.0003,4.00E-05,-0.122358092,0.003141984
2004-01,0.0059,0.004387686,-0.0015,0.003,0.0038,3.00E-05,-0.052129065,-0.024151489
2004-02,0.0031,0.013237267,0.0011,0.0019,0.0036,3.00E-05,0.092570035,0.051743643
2004-03,-0.0007,-0.00144645,0,0.0013,0.0017,4.00E-05,0.030032287,0.037460505
2004-04,-0.0057,-0.002489013,-0.0066,-0.0083,-0.0002,4.00E-05,-0.119263421,-0.106957352
2004-05,0.0011,0.007558116,0.0002,-0.0002,0.001,3.00E-05,0.148420005,-0.033537318
2004-06,0.0047,0.020268765,0.0048,0.0011,0.003,4.00E-05,-0.017391743,-0.036022638
2004-07,0.0054,-0.016721582,0.0014,0.0021,-0.0032,5.00E-05,-0.011764842,0.003386234
2004-08,0.0071,0.009856425,0.0048,0.0004,0.0014,5.00E-05,0.014684552,0.054630983
2004-09,0.0099,0.008091605,0.0006,0.001,0.0052,5.00E-05,-0.056986931,-0.040238971
2004-10,0.0024,0.009090001,0.0018,-0.0053,0.0025,5.00E-05,-0.053895768,0.003326664
2004-11,0.0061,0.002592855,-0.0037,0.0017,0.0011,7.00E-05,-0.166166117,-0.085574445
2004-12,0.0004,0.025270106,-0.0014,-0.0001,0.002,7.00E-05,-0.023347364,-0.049655144
2005-01,0.007,-0.004988354,0.0097,0.0078,0.0016,8.00E-05,0.118657544,-0.087351216
2005-02,0.0019,0.011889449,-0.0061,0.0027,0.0004,9.00E-05,-0.171194877,-0.102551525
2005-03,0.0087,-0.00296649,0,-0.0005,0.0064,0.0001,0.295946582,-0.060132885
2005-04,0.0007,-0.009130729,0.0104,-0.004,-0.0004,0.0001,0.187964044,0.067121034
2005-05,0.0053,0.020042695,-0.0049,0.0047,0.0028,0.00011,0,0.072083109
2005-06,0.0028,-0.00668518,-0.0063,0.002,0.0027,0.0001,-0.025908185,-0.015965506
2005-07,0.0023,0.029538469,-0.0066,0.0023,0.0011,0.00012,-0.165147052,-0.118697865
2005-08,0.0092,0.010734466,0.011,0.0072,-0.0006,0.00013,0.12498101,0.04217857
2005-09,0.0016,0.014094085,0.002,0.0032,-0.0017,0.00014,-0.013755375,0.023183335
2005-10,0.0032,-0.021294252,0.0096,0.008,0.0004,0.00013,0.01920498,0.010286419
2005-11,0.0023,0.002137222,-0.0043,0.0114,-0.0015,0.00015,0.03733767,0.012597875
2005-12,-0.0004,-0.001754734,-0.005,-0.0022,0.0026,0.00015,0.010416761,0.017122554
2006-01,0.0023,0.02030128,-0.0021,0.0061,-0.0003,0.00017,-0.080906639,0.011718452
2006-02,-0.0037,0.010149287,-0.011,-0.0021,0.0006,0.00018,-0.002812941,-0.096703295
2006-03,0.0009,0.010414483,-0.0023,0.0069,-0.0005,0.00016,-0.079104181,0.042505806
2006-04,-0.0025,0.013866889,0.0005,0.0014,0.0052,0.00019,-0.059672331,0.005169166
2006-05,0.0081,-0.020195592,0.0094,0.0036,0.0037,0.0002,0.028710106,-0.006252674
2006-06,0.0058,0.013130898,-0.0002,0.0113,0.0013,0.00018,0.078590275,-0.006058271
2006-07,0.0068,0.016075148,-0.0009,0.0026,-0.001,0.0002,0.0258264,0.013157066
2006-08,0.0013,0.011980937,0.0003,0,0.0023,0.00018,0.019635975,0.032973344
2006-09,0.0007,0.014806203,-0.0033,-0.0063,0.0025,0.0002,-0.016807118,-0.078754048
2006-10,0.0002,0.011909036,-0.0007,-0.0034,-0.0011,0.00018,-0.034486176,-0.033141355
2006-11,-0.003,0.014317873,0.0011,0.0013,0.0021,0.0002,-0.014727807,-0.008354965
2006-12,-0.001,0.008383373,-0.0051,-0.0027,-0.0003,0.0002,-0.116300456,0.02149728
2007-01,-0.0013,0.018854819,0.0064,-0.0042,0.0002,0.00022,-0.068992871,-0.029838033
2007-02,0.005,-0.012700033,0.0047,-0.0051,0.0036,0.0002,0.028170877,0.010352321
2007-03,0.0011,0.002381958,-0.0007,0.0027,-0.0005,0.00019,0.024014876,0.119354084
2007-04,0.0002,0.007099716,-0.0093,-0.0092,0.0003,0.00022,-0.034486176,-0.036243801
2007-05,-0.0022,0.022326022,0.0013,0.0035,-0.003,0.00018,-0.095661119,-0.043867028
2007-06,0.0041,-0.00102324,-0.0019,-0.0035,0.0011,0.00019,0.173271721,0.002813846
2007-07,0.0019,-0.021376607,-0.0119,0.0032,-0.0003,0.00019,0.342944751,0.199882156
2007-08,0.0021,0.011074039,0.0112,0.0005,-0.0007,0.00018,0.047252885,0.111599232
2007-09,-0.0011,0.013669291,-0.0037,-0.0054,0.0003,0.00017,-0.116410352,-0.028204475
2007-10,0.0067,0.023946635,0.0123,0.0004,-0.0012,0.00014,0.048202102,-0.033390749
2007-11,-0.0143,-0.018750512,0.007,-0.0062,0.0086,0.00016,0.265075518,0.249360155
2007-12,-0.0079,0.018305062,-0.0065,0.0002,0.0041,0.00014,0.014337163,0.016768133
2008-01,-0.0169,-0.061036547,0.0166,0.0083,0.0046,0.0001,0.137748467,0.191361463
2008-02,0.0103,0.009414899,-0.0264,0.0012,-0.0017,7.00E-05,0.091780349,0.044088647
2008-03,-0.0088,0.016457044,0.0057,0.0003,0.0059,9.00E-05,0.052353552,0.06224492
2008-04,0.0082,0.023797361,-0.003,-0.0012,0.0009,8.00E-05,-0.169252962,-0.108234934
2008-05,0.0045,0.012398509,0.0029,0.0026,0,8.00E-05,-0.047201601,-0.070463816
2008-06,0.0191,-0.061768747,-0.0007,-0.0122,0.0031,8.00E-05,0.1426563,0.021257246
2008-07,-0.0094,0.000411069,-0.0116,0.0062,0.0036,7.00E-05,0.077817022,0.073375866
