Date,Equity_russel_3000,Equity_global_MSCI_ACWI,Bond_US_Barclay_ETF,Bond_US_Barclay_TIPS,Bond_US_HighYield_bond_Index,IYR,FOF_Fund of Fund,PE
2000-07,-0.019273235,-0.030435178,0.009077383,0.00862069,0.00721015,0.063504728,-0.002199968,0.0335
2000-08,0.073640625,0.029985007,0.014493748,0.007435897,0.012205106,-0.015081674,0.01999995,0.0287
2000-09,-0.046422047,-0.055949782,0.006287041,0.005175193,-0.005839465,0.031050487,-0.011599937,0.0331
2000-10,-0.014580799,-0.020622531,0.006617252,0.012069548,-0.029337379,-0.056510573,-0.010100016,0.0417
2000-11,-0.093335254,-0.06300633,0.016350956,0.014510883,-0.031331487,0.020552705,-0.01540007,0.1753
2000-12,0.015787968,0.015506861,0.018550338,0.010850801,0.021685881,0.069097004,0.013800088,0.0002
2001-01,0.033386125,0.024680294,0.016353634,0.020818086,0.059634566,0.004608387,0.01929995,-0.072
2001-02,-0.092615752,-0.085107814,0.00871128,0.016888393,0.015793558,-0.013761477,-0.00740002,-0.0276
2001-03,-0.065905536,-0.069309115,0.005020228,0.009557383,-0.01323319,-0.001249238,-0.004399954,-0.2843
2001-04,0.0793651,0.070993995,-0.004150459,0.005664623,-0.010922279,0.032292497,0.006900014,-0.0152
2001-05,0.006573209,-0.01372238,0.006031729,0.011882716,0.019244737,0.022879983,0.008999949,-0.2911
2001-06,-0.01969213,-0.031903355,0.003778456,-0.001296325,-0.020625647,0.050696949,-0.000599982,0.0001
2001-07,-0.017045092,-0.016612579,0.02235726,0.016721387,0.015541424,-0.017247652,-0.004299995,0.0194
2001-08,-0.060451668,-0.047654593,0.011451466,0.001351757,0.009694639,0.02706705,0.001799965,-0.1022
2001-09,-0.08913089,-0.092611691,0.011652744,0.005849708,-0.064147978,-0.046209354,-0.015799942,-0.0087
2001-10,0.022281427,0.020549191,0.020925645,0.02371011,0.029447578,-0.05845148,0.009300011,-0.0816
2001-11,0.075452673,0.060228083,-0.013787479,-0.022286963,0.032495345,0.065573869,0.003600003,-0.0935
2001-12,0.01279238,0.008529412,-0.006350175,-0.011620977,-0.007059157,0.021594828,0.010699974,0.0124
2002-01,-0.013498167,-0.028204808,0.00809496,0.005878806,0.005593479,0.001127805,0.004537797,-0.002
2002-02,-0.0219149,-0.008788476,0.009690989,0.015135621,-0.009623046,0.019777225,-0.002567154,-0.0243
2002-03,0.042916224,0.043077722,-0.016635842,-0.006126366,0.023757581,0.060561601,0.007823969,-0.019
2002-04,-0.053310378,-0.03333748,0.019392008,0.027255848,0.015899044,0.002934248,0.006398608,-0.0395
2002-05,-0.012977384,-0.00132973,0.008496795,0.015905147,-0.005411376,0.019309579,0.004404057,-0.0236
2002-06,-0.073185791,-0.062580534,0.008646671,0.014161685,-0.071087752,0.015934879,-0.008758697,0.0016
