Date,Mkt-RF,SMB,HML,RMW,CMA,RF
199007,0.86,0.82,-0.25,0.17,1.57,0.68
199008,-10.82,-1.56,0.57,-0.23,1,0.66
199009,-11.97,1.17,0.74,0.02,2.14,0.6
199010,9.57,-7.6,-4.17,2.62,1.2,0.68
199011,-3.87,1.38,1.12,1.47,-2.35,0.57
199012,1.1,-0.93,-1.64,1.16,-0.32,0.6
199101,2.44,-1.8,0.44,1.15,-2.33,0.52
199102,9.1,2.48,0,-1.43,-0.12,0.48
199103,-2.38,2.9,-0.83,0.84,-1.23,0.44
199104,0.55,0.08,0.51,0.31,0.31,0.53
199105,0.72,-0.48,0.39,0.2,-0.11,0.47
199106,-6.09,1.58,1.01,1.04,0.44,0.42
199107,3.43,-1.63,-0.54,1.45,-0.63,0.49
199108,-1.35,0.32,-0.58,1.57,-0.8,0.46
199109,2.9,0.52,0,-0.27,0.42,0.46
199110,1.35,-0.22,-1.42,-1.57,0.14,0.42
199111,-5.1,0.76,-1.34,1.21,-0.32,0.39
199112,6.26,-1.91,-2.69,1.86,-1.95,0.38
199201,-2.21,4.03,3,-0.06,1.09,0.34
199202,-1.93,2.51,1.88,0.54,1.1,0.28
199203,-5.48,1.05,2.45,0.81,0.58,0.34
199204,-0.11,-1.34,2.59,3.32,2.21,0.32
199205,4.13,0.14,0.68,-1.53,1.13,0.28
199206,-3.71,0.75,0.93,0.88,0.41,0.32
199207,-0.64,-2.36,-1.37,0.3,0.57,0.31
199208,2.52,-2.71,-1.65,-0.16,0.86,0.26
199209,-1.41,-0.2,-0.98,0.46,-0.24,0.26
199210,-3.08,-0.44,-0.36,0.25,-2.21,0.23
199211,1.78,-0.18,-1.62,-0.1,-1.19,0.23
199212,0.73,1.45,0.78,0.79,0.65,0.28
199301,0.3,1.85,3.06,-1.22,1.32,0.23
199302,1.92,-0.99,3.43,-1.32,2.54,0.22
199303,6.73,0.37,2.03,-0.2,2.22,0.25
199304,4.43,0.68,2.85,-2.34,2.8,0.24
199305,3.13,4.14,-1.46,-1.42,0.2,0.22
199306,-2.18,-0.78,0.4,-1.43,1.22,0.25
