Date,Open,High,Low,Close,Volume,Adj Close
1/2/1990,17.24,17.24,17.24,17.24,0,17.24
1/3/1990,18.190001,18.190001,18.190001,18.190001,0,18.190001
1/4/1990,19.219999,19.219999,19.219999,19.219999,0,19.219999
1/5/1990,20.110001,20.110001,20.110001,20.110001,0,20.110001
1/8/1990,20.26,20.26,20.26,20.26,0,20.26
1/9/1990,22.200001,22.200001,22.200001,22.200001,0,22.200001
1/10/1990,22.440001,22.440001,22.440001,22.440001,0,22.440001
1/11/1990,20.049999,20.049999,20.049999,20.049999,0,20.049999
1/12/1990,24.639999,24.639999,24.639999,24.639999,0,24.639999
1/15/1990,26.34,26.34,26.34,26.34,0,26.34
1/16/1990,24.18,24.18,24.18,24.18,0,24.18
1/17/1990,24.16,24.16,24.16,24.16,0,24.16
1/18/1990,24.34,24.34,24.34,24.34,0,24.34
1/19/1990,22.5,22.5,22.5,22.5,0,22.5
1/22/1990,26.700001,26.700001,26.700001,26.700001,0,26.700001
1/23/1990,24.719999,24.719999,24.719999,24.719999,0,24.719999
1/24/1990,25.389999,25.389999,25.389999,25.389999,0,25.389999
1/25/1990,25.629999,25.629999,25.629999,25.629999,0,25.629999
1/26/1990,26.280001,26.280001,26.280001,26.280001,0,26.280001
1/29/1990,26.440001,26.440001,26.440001,26.440001,0,26.440001
1/30/1990,27.25,27.25,27.25,27.25,0,27.25
1/31/1990,25.360001,25.360001,25.360001,25.360001,0,25.360001
2/1/1990,24.870001,24.870001,24.870001,24.870001,0,24.870001
2/2/1990,24.32,24.32,24.32,24.32,0,24.32
2/5/1990,24.540001,24.540001,24.540001,24.540001,0,24.540001
2/6/1990,24.690001,24.690001,24.690001,24.690001,0,24.690001
2/7/1990,24.290001,24.290001,24.290001,24.290001,0,24.290001
2/8/1990,23.77,23.77,23.77,23.77,0,23.77
2/9/1990,23.690001,23.690001,23.690001,23.690001,0,23.690001
2/12/1990,24.379999,24.379999,24.379999,24.379999,0,24.379999
2/13/1990,23.76,23.76,23.76,23.76,0,23.76
2/14/1990,22.049999,22.049999,22.049999,22.049999,0,22.049999
2/15/1990,19.709999,19.709999,19.709999,19.709999,0,19.709999
2/16/1990,20.780001,20.780001,20.780001,20.780001,0,20.780001
2/20/1990,22.780001,22.780001,22.780001,22.780001,0,22.780001
2/21/1990,23.889999,23.889999,23.889999,23.889999,0,23.889999
2/22/1990,22.540001,22.540001,22.540001,22.540001,0,22.540001
2/23/1990,23.690001,23.690001,23.690001,23.690001,0,23.690001
2/26/1990,23.559999,23.559999,23.559999,23.559999,0,23.559999
2/27/1990,22.690001,22.690001,22.690001,22.690001,0,22.690001
2/28/1990,21.99,21.99,21.99,21.99,0,21.99
3/1/1990,21.9,21.9,21.9,21.9,0,21.9
3/2/1990,21.34,21.34,21.34,21.34,0,21.34
3/5/1990,22.030001,22.030001,22.030001,22.030001,0,22.030001
3/6/1990,20.549999,20.549999,20.549999,20.549999,0,20.549999
3/7/1990,19.1,19.1,19.1,19.1,0,19.1
3/8/1990,19.74,19.74,19.74,19.74,0,19.74
3/9/1990,20.299999,20.299999,20.299999,20.299999,0,20.299999
3/12/1990,20.07,20.07,20.07,20.07,0,20.07
3/13/1990,21.049999,21.049999,21.049999,21.049999,0,21.049999
3/14/1990,19.65,19.65,19.65,19.65,0,19.65
3/15/1990,18.809999,18.809999,18.809999,18.809999,0,18.809999
3/16/1990,17.620001,17.620001,17.620001,17.620001,0,17.620001
3/19/1990,18.290001,18.290001,18.290001,18.290001,0,18.290001
3/20/1990,19.059999,19.059999,19.059999,19.059999,0,19.059999
3/21/1990,20.1,20.1,20.1,20.1,0,20.1
3/22/1990,22.74,22.74,22.74,22.74,0,22.74
3/23/1990,20.459999,20.459999,20.459999,20.459999,0,20.459999
3/26/1990,19.59,19.59,19.59,19.59,0,19.59
3/27/1990,21.01,21.01,21.01,21.01,0,21.01
3/28/1990,19.77,19.77,19.77,19.77,0,19.77
3/29/1990,18.459999,18.459999,18.459999,18.459999,0,18.459999
3/30/1990,19.73,19.73,19.73,19.73,0,19.73
4/2/1990,22.84,22.84,22.84,22.84,0,22.84
4/3/1990,20.440001,20.440001,20.440001,20.440001,0,20.440001
4/4/1990,22.030001,22.030001,22.030001,22.030001,0,22.030001
4/5/1990,21.209999,21.209999,21.209999,21.209999,0,21.209999
