Date,BXM Level
30-Jun-86,92.21
1-Jul-86,92.57
2-Jul-86,92.61
3-Jul-86,92.82
7-Jul-86,90.99
8-Jul-86,90.17
9-Jul-86,90.62
10-Jul-86,90.75
11-Jul-86,90.5
14-Jul-86,89.03
15-Jul-86,87.37
16-Jul-86,87.89
17-Jul-86,88.29
18-Jul-86,88.43
21-Jul-86,88.48
22-Jul-86,88.98
23-Jul-86,89.27
24-Jul-86,89.06
25-Jul-86,89.55
28-Jul-86,88.88
29-Jul-86,88.41
30-Jul-86,88.96
31-Jul-86,88.96
1-Aug-86,88.78
4-Aug-86,88.99
5-Aug-86,89.33
6-Aug-86,89.32
7-Aug-86,89.44
8-Aug-86,89.53
11-Aug-86,90.36
12-Aug-86,90.91
13-Aug-86,91.11
14-Aug-86,90.92
15-Aug-86,91.12
18-Aug-86,91.14
19-Aug-86,90.99
20-Aug-86,91.7
21-Aug-86,91.72
22-Aug-86,91.92
25-Aug-86,91.44
26-Aug-86,92.35
27-Aug-86,92.51
28-Aug-86,92.51
29-Aug-86,92.78
2-Sep-86,92.15
3-Sep-86,92.36
4-Sep-86,92.79
5-Sep-86,92.5
8-Sep-86,91.95
9-Sep-86,91.94
10-Sep-86,91.85
11-Sep-86,88.01
12-Sep-86,86.33
15-Sep-86,86.89
16-Sep-86,86.81
17-Sep-86,86.81
18-Sep-86,87.05
19-Sep-86,87.04
22-Sep-86,87.55
23-Sep-86,87.49
24-Sep-86,87.68
25-Sep-86,86.86
26-Sep-86,86.99
29-Sep-86,86.47
30-Sep-86,86.94
1-Oct-86,87.51
2-Oct-86,87.62
3-Oct-86,87.72
6-Oct-86,88.01
7-Oct-86,87.96
8-Oct-86,88.55
9-Oct-86,88.59
10-Oct-86,88.52
13-Oct-86,88.62
14-Oct-86,88.89
15-Oct-86,89.26
16-Oct-86,89.57
17-Oct-86,89.38
20-Oct-86,88.63
21-Oct-86,88.65
22-Oct-86,88.8
23-Oct-86,89.41
24-Oct-86,89.44
27-Oct-86,89.5
28-Oct-86,89.71
29-Oct-86,89.98
30-Oct-86,90.52
31-Oct-86,90.63
3-Nov-86,91.02
4-Nov-86,90.95
5-Nov-86,90.94
6-Nov-86,91.1
7-Nov-86,91.07
10-Nov-86,91.08
11-Nov-86,91.31
