Date,BXM Level
1/2/2004,624.31
1/5/2004,627.33
1/6/2004,627.79
1/7/2004,628.39
1/8/2004,629.56
1/9/2004,627.92
1/12/2004,628.67
1/13/2004,628.69
1/14/2004,629.63
1/15/2004,629.37
1/16/2004,628.27
1/20/2004,628.3
1/21/2004,631.1
1/22/2004,630.17
1/23/2004,630.16
1/26/2004,633.22
1/27/2004,631.05
1/28/2004,625.98
1/29/2004,628.43
1/30/2004,628.13
2/2/2004,629.59
2/3/2004,630.05
2/4/2004,627.2
2/5/2004,628.24
2/6/2004,633.28
2/9/2004,633.43
2/10/2004,635.06
2/11/2004,636.81
2/12/2004,636.37
2/13/2004,635.63
2/17/2004,637.68
2/18/2004,637.73
2/19/2004,637.76
2/20/2004,633.57
2/23/2004,633.46
2/24/2004,633.21
2/25/2004,635.17
2/26/2004,635.97
2/27/2004,636.5
3/1/2004,639.41
3/2/2004,638
3/3/2004,638.78
3/4/2004,638.78
3/5/2004,640.31
3/8/2004,638.86
3/9/2004,636.72
3/10/2004,629.93
3/11/2004,621.56
3/12/2004,629.84
3/15/2004,621.23
3/16/2004,624.84
3/17/2004,632.38
3/18/2004,631.62
3/19/2004,625.46
3/22/2004,621.01
3/23/2004,621.07
3/24/2004,620.4
3/25/2004,628.92
3/26/2004,628.75
3/29/2004,634.25
3/30/2004,635.8
3/31/2004,635.58
4/1/2004,637.02
4/2/2004,639.99
4/5/2004,641.61
4/6/2004,641.66
4/7/2004,640.17
4/8/2004,640.75
4/12/2004,642.01
4/13/2004,639.87
4/14/2004,641.37
4/15/2004,642.58
4/16/2004,642.43
4/19/2004,643.56
4/20/2004,637.04
4/21/2004,639.8
4/22/2004,645.31
4/23/2004,646.32
4/26/2004,644.9
4/27/2004,645.46
4/28/2004,640.21
4/29/2004,636.81
4/30/2004,634
5/3/2004,639.21
5/4/2004,640.25
5/5/2004,641.59
5/6/2004,638.01
5/7/2004,630.6
5/10/2004,624.43
5/11/2004,629.36
5/12/2004,630.57
5/13/2004,630.27
5/14/2004,629.95
5/17/2004,623.44
5/18/2004,627.8
5/19/2004,626.28
5/20/2004,626.6
5/21/2004,629.63
5/24/2004,631.31
5/25/2004,636.51
5/26/2004,637.07
5/27/2004,638.9
5/28/2004,638.81
6/1/2004,639.17
6/2/2004,639.82
6/3/2004,638.92
6/4/2004,640.21
6/7/2004,642.5
6/8/2004,642.69
6/9/2004,642.43
6/10/2004,642.91
6/14/2004,642.67
6/15/2004,642.71
6/16/2004,643.46
6/17/2004,644.01
6/18/2004,647.39
6/21/2004,646.3
6/22/2004,648.05
6/23/2004,651.05
6/24/2004,650.03
6/25/2004,647.3
6/28/2004,648.12
6/29/2004,649.45
6/30/2004,651.89
7/1/2004,648.12
7/2/2004,647.13
7/6/2004,643.25
7/7/2004,644.84
7/8/2004,640.13
7/9/2004,642.36
7/12/2004,643.4
7/13/2004,643.87
7/14/2004,641.86
7/15/2004,639.19
7/16/2004,637.57
7/19/2004,637.96
7/20/2004,641.11
7/21/2004,635.34
7/22/2004,637.32
7/23/2004,633.08
7/26/2004,632.33
7/27/2004,637.26
7/28/2004,637.78
7/29/2004,640.2
7/30/2004,641.08
8/2/2004,643.22
8/3/2004,640.89
8/4/2004,640.76
8/5/2004,632.48
8/6/2004,623.74
8/9/2004,624.65
8/10/2004,632.68
8/11/2004,631.16
8/12/2004,623.95
8/13/2004,624.96
8/16/2004,633.56
8/17/2004,635.02
8/18/2004,642.88
8/19/2004,640.85
8/20/2004,643.65
8/23/2004,643.49
8/24/2004,644.52
8/25/2004,646.95
8/26/2004,646.88
8/27/2004,647.72
8/30/2004,643.6
8/31/2004,647.43
