,BXM Level (Volatility),Credit Spread Investment Grade,HML,Last_Price (High Yield Credit Spread),Liquidity,Mkt-RF,Momentum,SMB,date,index
0,3.397349708548315e-05,8.104170276517056e-05,-0.003661458435810748,-0.002251772767395563,0.06657353219434814,-0.001188715458564242,-0.003251511279728215,-0.0026487173847076773,2005-07,Equity_russel_3000
1,2.393093797839905e-05,8.310660530977426e-05,-0.0019019523809554809,-0.0027507597674775574,0.07661196013575955,-0.0013403106455312924,-0.0035460384387755936,-0.0030476484288894656,2005-07,Equity_global_MSCI_ACWI
2,1.1032359563201382e-05,5.156356425930846e-06,0.0002708671791200046,0.00040893920577057125,-0.01473597741793009,0.00038595566563031855,0.0007069985323550632,0.00026513742469291834,2005-07,Bond_US_Barclay_ETF
3,3.4395589056049217e-06,5.948431807699492e-06,0.00038346761707251653,0.00021456772016797965,-0.0162092242686811,0.0009411167612251962,0.0010171506873290805,0.0001456740604575818,2005-07,Bond_US_Barclay_TIPS
4,2.0252151177952e-05,0.00010422468491167554,-0.0019375288982104028,-0.0019214922416706075,0.05986691808388822,-0.0020399047458226835,0.0007614432604803115,-0.0017736114439924622,2005-07,Bond_US_HighYield_bond_Index
5,2.7303351369296214e-05,-3.877272970361921e-06,0.005019124972547251,-0.0006922039300356064,0.052822244123719164,-0.00010296116398103572,-0.0025195414075645794,0.00045733307664211353,2005-07,IYR
6,7.999316062691958e-06,3.913082066842955e-05,-0.00025764308849879347,-0.0008984285424895027,0.013845264931710233,-0.0002474644988592657,-0.00012972276869482532,-0.0002581506311185727,2005-07,FOF_Fund of Fund
7,2.5580866795608538e-05,-0.0001804272545504966,0.0018439888616584924,-0.00011328879255377046,-0.19480909767588117,-0.00377510960046646,0.0021841980566594567,0.0018691608927556835,2005-07,PE
8,3.1756792455703894e-05,5.550579924991123e-05,-0.0038149214277255275,-0.0018283370920689091,0.07527069438396095,-0.001163056354851838,-0.0033066733342348685,-0.002520505708060724,2005-08,Equity_russel_3000
9,2.140175526766882e-05,5.6703513386122204e-05,-0.002040767841041534,-0.002302386466443899,0.08719091972493875,-0.001260692693311298,-0.003567701963254826,-0.0029045658083713365,2005-08,Equity_global_MSCI_ACWI
10,1.1504023397596323e-05,1.230042736221975e-05,0.0003262332420995301,0.00029708599320798536,-0.01617598279966659,0.0004120114859820778,0.0007445748032995116,0.0002358521049133644,2005-08,Bond_US_Barclay_ETF
11,3.91110703196456e-06,1.68597159950569e-05,0.0004888624173781039,5.4807805971907736e-05,-0.016744318268806735,0.001036603584478421,0.0011116483668608228,0.0001119787491551949,2005-08,Bond_US_Barclay_TIPS
12,1.9821728357592933e-05,9.593536268751425e-05,-0.0020115538182148007,-0.0017969092585032615,0.060756232006741406,-0.00209629017577493,0.0007004178861320688,-0.0017448124440855618,2005-08,Bond_US_HighYield_bond_Index
13,2.9710485796809964e-05,-1.1861568918725661e-07,0.004867497943706112,-0.0008471502473301473,0.0376248687515901,-0.0005724524494218827,-0.0028217243181209092,0.0003462007803360159,2005-08,IYR
14,7.44032363244392e-06,3.0045255721129413e-05,-0.0003314758636526957,-0.0007579961270663179,0.015403381892219459,-0.00028974441772813136,-0.00018360285596401987,-0.00022271794371945403,2005-08,FOF_Fund of Fund
15,3.39647546736319e-05,-9.441955998560204e-05,0.0022840290838214705,-0.0015803174223450612,-0.23024044484038697,-0.00406694119219133,0.0022331273158557735,0.0013966373741184923,2005-08,PE
16,4.335951669925324e-06,2.8634051408894974e-05,-0.0022105081317327045,-0.0019906246645331714,0.08533716627005061,-0.001361784059233477,-0.0046863489125084645,-0.0021930011316936004,2005-09,Equity_russel_3000
17,3.9671029292013605e-06,3.2584701665805535e-05,-0.0008997160121114733,-0.0022959606489148417,0.09474520094359518,-0.0012381491553098423,-0.004374653225518672,-0.002563605438549374,2005-09,Equity_global_MSCI_ACWI
18,1.1926873710476954e-05,1.051678778197433e-05,0.00033928707750185624,0.00033384395979951104,-0.01597062003656413,0.0004616092536681854,0.0007878112679890123,0.00027228128334981505,2005-09,Bond_US_Barclay_ETF
19,7.702984977061937e-06,1.571442085682791e-05,0.00035058620411837493,0.00015301032742099513,-0.0173388469800817,0.0011669994753877623,0.00135100563828474,0.00015842790856671063,2005-09,Bond_US_Barclay_TIPS
20,1.6666717290209684e-05,8.727599452985533e-05,-0.0017312177660148836,-0.001728813905508081,0.0628278480503961,-0.002001288059295638,0.0005973001501556122,-0.001602063490903971,2005-09,Bond_US_HighYield_bond_Index
21,2.7650050065683744e-05,2.1177540103537026e-05,0.004587147149343919,-0.0012227055734794247,0.0345562909815873,-0.0010809823317453754,-0.0031583422555179694,-6.918083172852141e-05,2005-09,IYR
22,1.5827417015745878e-06,2.1184106463050445e-05,6.491892001111305e-05,-0.0007440261511288404,0.01806575194325144,-0.0002661259701992151,-0.0004471451580098859,-9.386234903752122e-05,2005-09,FOF_Fund of Fund
23,2.3599136680364308e-05,-9.311353056879281e-05,0.0026934034545715475,-0.0018203287660497475,-0.22831585385172004,-0.004384764474372336,0.0015970432161376627,0.0013040984315201842,2005-09,PE
24,1.178504755376664e-05,3.1519790230039805e-05,-0.0015530600376891107,-0.001931314693544601,0.07725690508052163,-0.0014703948014522655,-0.005219545932767133,-0.0019063222198821561,2005-10,Equity_russel_3000
25,1.6190139203911763e-05,3.0557869453170334e-05,-0.0001077048538285913,-0.0020908168811038575,0.08460172556318457,-0.0013908063315075728,-0.005201380302453054,-0.0021882571061990555,2005-10,Equity_global_MSCI_ACWI
26,1.1600064396321782e-05,1.4236021802174206e-05,0.00047354753452572007,0.00026991777908894586,-0.017387889178220428,0.00045183742181878483,0.0007838002116859269,0.00031376664036613516,2005-10,Bond_US_Barclay_ETF
27,7.1085448165635816e-06,1.696727075184998e-05,0.0003610221704895278,0.00012462796410414676,-0.017377315619605982,0.0011700605696602015,0.0013829868090621533,0.00015639989000137272,2005-10,Bond_US_Barclay_TIPS
28,1.3502612185199811e-05,9.012712271067329e-05,-0.0018375747291522054,-0.0018190149153909643,0.06438183724517521,-0.0019705643364875403,0.0007947328647332011,-0.0016665237078854894,2005-10,Bond_US_HighYield_bond_Index
29,2.8867516812619792e-05,2.7834511616253016e-05,0.004956922809153122,-0.001311640747820184,0.030386099095122354,-0.0011221133394289373,-0.0032895608180589647,6.462336931895019e-05,2005-10,IYR
30,6.077656801298681e-06,1.8886449071240123e-05,0.000290339853279184,-0.0006438338770439755,0.015050721889598995,-0.0003163967672579551,-0.0007401058139154329,2.2347262704301707e-05,2005-10,FOF_Fund of Fund
31,3.2042780887148756e-05,-8.638171638349567e-05,0.0035854034164447407,-0.0018082845077737782,-0.23906931151601607,-0.004520957532978098,0.0009679976577586999,0.0016777024787469758,2005-10,PE
32,4.520944961887836e-06,2.530997445414915e-05,-0.0004318849053733115,-0.002085875858122657,0.07573387385704411,-0.0017312350296227082,-0.005770364435188274,-0.0016794137115183627,2005-11,Equity_russel_3000
33,6.842093737656404e-06,2.5385606603694957e-05,0.0011988945477613352,-0.0023169315735897776,0.08489374171189579,-0.0017509842252448095,-0.005836594176350629,-0.0020000356386606355,2005-11,Equity_global_MSCI_ACWI
34,1.3212259446108228e-05,2.0147311073286686e-05,5.667142302115402e-06,0.0002604624866849453,-0.01342863310679987,0.00047032013556704347,0.0010244392122477491,9.652088493869448e-05,2005-11,Bond_US_Barclay_ETF
35,1.0006616670066044e-05,2.5986783697021102e-05,-0.0004024036759814678,0.00012313981211743708,-0.011543594507520405,0.0012172517555475992,0.0017735988978657136,-0.00017497325827715848,2005-11,Bond_US_Barclay_TIPS
36,2.3342569189710997e-05,9.056638993925161e-05,-0.002971070954873388,-0.0015326859126392825,0.0600760953570747,-0.001547920971544478,0.0013326530628550437,-0.0016803841518638896,2005-11,Bond_US_HighYield_bond_Index
37,2.910648937861748e-05,3.883274030102766e-05,0.004398455958826833,-0.0014107517282155209,0.03905889792260964,-0.0012073689642501453,-0.0029895352531022212,-0.0003402208707901089,2005-11,IYR
38,6.485607649042469e-06,2.3009029200306286e-05,4.5016154831739597e-05,-0.0006715832303223861,0.01815096998681498,-0.00033455572837564826,-0.0006106107663131771,-0.0001293299232396905,2005-11,FOF_Fund of Fund
39,-2.69496083033824e-05,-0.00010151250859511253,0.010984818349945587,-0.003404242083805107,-0.22323899976717776,-0.006946139039401153,-0.0025833264375623166,0.0022208873018081388,2005-11,PE
40,2.0604674754175732e-05,2.227427837921971e-05,-0.0002123843093082764,-0.0015930800898556266,0.060550759504741536,-0.0025464879787253647,-0.005267703933499249,-0.001674415583417417,2005-12,Equity_russel_3000
41,1.3539476674763592e-05,1.858351427566976e-05,0.0011419245291749355,-0.0020300055531293944,0.07705627540390048,-0.0021670502312268677,-0.005704791799027761,-0.001839539615226992,2005-12,Equity_global_MSCI_ACWI
42,1.3244470536037363e-05,1.963348387514375e-05,-7.496596711474568e-06,0.00026894205280970397,-0.013597951798690722,0.00046166544543918553,0.0010183395348451196,0.00011105502299068107,2005-12,Bond_US_Barclay_ETF
43,9.393358852639346e-06,2.5403787132497217e-05,-0.00042949347755708717,0.00011466107508707746,-0.01115584128083491,0.0012386732013886514,0.0017446533828695265,-0.00015517622316902485,2005-12,Bond_US_Barclay_TIPS
44,3.350980819153955e-05,9.238895439240668e-05,-0.0027320726956012453,-0.0012763806654088206,0.05150180450963138,-0.0020115340094080322,0.0017027734335445521,-0.0017842520774131003,2005-12,Bond_US_HighYield_bond_Index
45,2.7343506122925673e-05,2.9370640176053795e-05,0.004111976794705853,-0.001320229574191905,0.038043454015970646,-0.0012534661707747086,-0.003181720628003204,-6.058683293898651e-05,2005-12,IYR
46,1.0816960376930297e-05,2.122093536131289e-05,7.812439615244304e-05,-0.0005245507173307559,0.013796618699436602,-0.0005675263508661821,-0.0004888282581164693,-0.00010022046580903526,2005-12,FOF_Fund of Fund
47,-6.572950112523738e-05,-0.00010269441605926339,0.010227810590716278,-0.004466983363462332,-0.18895643217081648,-0.005098032522404962,-0.003914287746855052,0.002452017511742826,2005-12,PE
48,5.329134865491919e-06,1.8076753540361085e-05,-0.0009263202192474895,-0.0018522277914313646,0.06451082820557463,-0.0022630553051761516,-0.0050030366654655045,-0.0014880457697067362,2006-01,Equity_russel_3000
49,2.5011478631655273e-07,9.528669466382471e-06,0.00041932136221439764,-0.002182347587089073,0.07974595302159626,-0.0019953665740783874,-0.00560870186836078,-0.0017526949624179222,2006-01,Equity_global_MSCI_ACWI
50,1.011319006977737e-05,1.5333449406402903e-05,-0.0002184557533189968,0.0002623621579046463,-0.013267133645944451,0.0004720866396509208,0.0009871840390205944,0.00010132716670671615,2006-01,Bond_US_Barclay_ETF
51,8.706284942997834e-06,2.1343276446338967e-05,-0.000534334397153835,0.00015539386281754157,-0.011519085618257874,0.001197753112165417,0.0016604192305202242,-0.00020074625902688492,2006-01,Bond_US_Barclay_TIPS
52,2.6451773898369252e-05,8.604420608302214e-05,-0.003144697563345955,-0.0013365104982767644,0.05271557593916043,-0.0019416393078136116,0.0017156746060902478,-0.001759528436891214,2006-01,Bond_US_HighYield_bond_Index
53,-5.195113470829026e-06,1.7012487581549197e-05,0.002527026450586445,-0.0018260078784692515,0.04600106991701147,-0.0006970874514561475,-0.0027027959566229554,0.000288786262223395,2006-01,IYR
54,7.489906025200891e-06,1.562104574901e-05,-0.00016539155013085838,-0.0005175912159183817,0.014003959236363439,-0.0005707451375242395,-0.000547532647607471,-0.00012492373820778557,2006-01,FOF_Fund of Fund
55,-8.69064483944406e-05,-0.00011263665068218017,0.00916060858734491,-0.004770457530360945,-0.18404297847743512,-0.0047622540424816714,-0.00364975165718584,0.0026529321501080755,2006-01,PE
56,-1.8183730188548608e-05,-8.02127693611866e-06,-0.0009601372196889821,-0.0019597589026177347,0.06324205753208201,-0.0020194705700870494,-0.005477558482948772,-0.0012371135247722861,2006-02,Equity_russel_3000
57,-1.588222883400171e-05,-1.191608185370811e-05,0.0003782927738040717,-0.002210731528019913,0.0801480412236748,-0.0018239287323045666,-0.005993964336886731,-0.0015531260645841247,2006-02,Equity_global_MSCI_ACWI
58,3.949653898141579e-06,9.395909469738276e-06,-0.00022276811702184873,0.00022258256837767113,-0.01392469849358402,0.0005348373455833569,0.0008780380195759774,0.0001601075914982944,2006-02,Bond_US_Barclay_ETF
59,-3.235117059338546e-07,1.2611090994455506e-05,-0.0005408208253423682,9.754486020793329e-05,-0.01247040056482629,0.0012897259006321438,0.0014999517348225494,-0.00011437160853567524,2006-02,Bond_US_Barclay_TIPS
60,6.047491414726909e-06,6.528723446032228e-05,-0.0031645191644070828,-0.001454078700321151,0.05093460816524342,-0.0017325625528987545,0.001335779866653855,-0.0015564122699571817,2006-02,Bond_US_HighYield_bond_Index
61,8.229671399883828e-06,1.9767291249977385e-05,0.0024851480737747775,-0.001608805784158715,0.051093460246433464,-0.000821361008678724,-0.0026367398023913052,0.00023956957374027948,2006-02,IYR
62,2.67566411556305e-06,6.663851849550168e-06,-0.0001905195457771805,-0.0004932529754045059,0.015043728098955933,-0.0005164673933451408,-0.0007056442825962572,-4.5562779592209224e-05,2006-02,FOF_Fund of Fund
63,-0.00011093632008683536,-0.00013640306143019535,0.009140684532066179,-0.004917623917045458,-0.18638452106682324,-0.004516854205070461,-0.0040856989287322565,0.0028868830213781282,2006-02,PE
64,7.6454150275651e-05,0.00012132902852918064,0.0006764523043663873,-0.002054916777783998,0.06168289931566351,-0.0034866327236827838,-0.002346595207763591,-0.0014768976571829656,2006-03,Equity_russel_3000
65,6.577868524157115e-05,0.00010304828135395761,0.0018445825286346335,-0.0023412853434736274,0.08003234710602536,-0.0030246683248706593,-0.0031345662297402876,-0.0017099842011424338,2006-03,Equity_global_MSCI_ACWI
66,3.1213799468968336e-06,6.740075930167732e-06,-0.0002616987064510967,0.0002454446160575748,-0.01447022468832282,0.0005180103097659899,0.0007788969977327448,0.0001394484712441968,2006-03,Bond_US_Barclay_ETF
67,-1.522042746555016e-05,-8.221209559258606e-06,-0.0008060470559976968,0.00011933750640270423,-0.012397931996922296,0.0015114948446172186,0.0009849183295596725,-8.366648199628623e-05,2006-03,Bond_US_Barclay_TIPS
68,2.0421796607081338e-05,8.19332433306954e-05,-0.002964399675150095,-0.001425150613086179,0.0495966338750633,-0.0020138295891980636,0.001670061310656265,-0.0016376484429448945,2006-03,Bond_US_HighYield_bond_Index
69,4.791426835791925e-05,7.309900419973775e-05,0.003156743305807244,-0.001635568580161226,0.050106125510516186,-0.0014542835749013668,-0.0013666201032524194,0.00012544627417827858,2006-03,IYR
70,1.845237263173549e-05,2.8998193229513793e-05,9.47584770219917e-05,-0.0005202608577867624,0.015066689644023912,-0.0007460434662768384,-0.00014740141221253333,-7.402321765385966e-05,2006-03,FOF_Fund of Fund
71,-0.0001909128923614313,-0.00021513522568067855,0.008251458357678154,-0.005279297009345583,-0.17384527500624536,-0.002681604781511006,-0.005291938701066937,0.003546228564540538,2006-03,PE
72,0.00010041823430863539,0.00015908837783062957,-0.0006943396058573595,-0.0020284985711429386,0.07614587931289468,-0.002959057197478049,-0.0011340399322005007,-0.0009554723726554193,2006-04,Equity_russel_3000
73,9.007205199160873e-05,0.00014079985361852097,0.0004884911878949849,-0.002310809785514907,0.09423139105472444,-0.0025088201548112005,-0.0019297068992769895,-0.001190963153625331,2006-04,Equity_global_MSCI_ACWI
74,3.780020801066918e-07,6.3833098506504505e-06,-0.0003573287426877625,0.0002145986484651686,-0.012641642462049296,0.0006005244241117508,0.0008235166502548324,0.00015181904791113088,2006-04,Bond_US_Barclay_ETF
75,-2.1504086670612408e-05,-1.1083370746450523e-05,-0.0008948557990556411,6.303152051972093e-05,-0.01000625999956678,0.0016268006326512069,0.0009925328783804005,-9.249084243578148e-05,2006-04,Bond_US_Barclay_TIPS
76,3.3150910061336585e-05,0.00010050489704171344,-0.0035979513335782226,-0.00140069918883819,0.05597419485816507,-0.0017871123804219513,0.0022454478878495276,-0.001387666835476295,2006-04,Bond_US_HighYield_bond_Index
77,6.305475119085035e-05,8.739407640207008e-05,0.002899561520480688,-0.0015518029876552732,0.05084363220819865,-0.001465501222323945,-0.001042759827809242,0.000281147869103375,2006-04,IYR
78,2.5079639943991253e-05,3.695045727967843e-05,-0.0001257594835787218,-0.0004954863225506648,0.01687872260246992,-0.0006898725895629343,7.275829948819035e-05,2.493041822242137e-05,2006-04,FOF_Fund of Fund
79,-0.0001424645033819683,-0.00013693210194393125,0.00536136629130507,-0.005238968673932283,-0.14296705678714117,-0.0015478053532584218,-0.002754257182724318,0.0046342818685841045,2006-04,PE
80,7.49103633762196e-05,0.00013557225020966314,0.00038743612538098826,-0.0022739084691419335,0.08215428821506965,-0.002655993782787476,-0.0005223353291848726,-0.0009194853719464713,2006-05,Equity_russel_3000
81,7.216140711485556e-05,0.0001227363600158067,0.0018177299571212752,-0.0025134984193535288,0.09906964676591024,-0.0022387742690239756,-0.0014305557228382892,-0.001175304111694947,2006-05,Equity_global_MSCI_ACWI
82,2.7154651578323134e-06,8.871294737205918e-06,-0.0005787497710955936,0.00024360716456795113,-0.013325199651419428,0.000560463326964182,0.0007525129588226709,0.00015058424632123646,2006-05,Bond_US_Barclay_ETF
83,-2.0700277980337603e-05,-1.0822911730146308e-05,-0.0007524761203773767,6.135649999024391e-05,-0.010003725507815364,0.001634984269699765,0.0009948285313346183,-9.660175196128662e-05,2006-05,Bond_US_Barclay_TIPS
84,4.253102058533124e-05,0.00010851424774250943,-0.0037613658360857033,-0.0013229501840681078,0.05401954976683321,-0.0018750044877635305,0.002049155644614775,-0.0014048544605732016,2006-05,Bond_US_HighYield_bond_Index
